Sim_ID,Total_Rounds,Alive_Ratio,Remaining_HP_Ratio,YinYang_Deviation,Skill_Aggressive,Skill_Heal,Skill_Utility,Skill_Defensive,Turn_Skip_Ratio,Corrosion_Revert_Ratio
78,1,1.000,1.000,0.0,0.667,0.000,0.000,0.000,0.000,0.000
79,3,1.000,0.869,0.0,0.667,0.000,0.556,0.000,0.000,0.000
80,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
81,2,1.000,0.991,0.0,0.800,0.000,0.600,0.000,0.000,0.000
82,2,1.000,0.986,0.0,0.800,0.000,0.400,0.000,0.000,0.000
83,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
84,2,1.000,0.991,0.0,0.600,0.000,0.600,0.000,0.000,0.000
85,2,1.000,1.000,0.0,1.000,0.000,0.400,0.000,0.000,0.000
86,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
87,2,1.000,0.989,0.0,0.800,0.000,0.400,0.000,0.000,0.000
88,2,1.000,1.000,0.0,1.000,0.000,0.500,0.000,0.000,0.000
89,2,1.000,0.991,0.0,0.667,0.000,0.667,0.000,0.000,0.000
90,2,1.000,0.908,0.0,0.714,0.000,0.286,0.000,0.000,0.000
91,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
92,2,1.000,1.000,0.0,0.800,0.000,0.600,0.000,0.000,0.000
93,2,1.000,1.000,0.0,0.800,0.000,0.400,0.000,0.000,0.000
94,2,1.000,1.000,0.0,0.600,0.000,0.800,0.000,0.000,0.000
95,2,1.000,1.000,0.0,0.600,0.000,0.600,0.000,0.000,0.000
96,2,1.000,1.000,0.0,0.600,0.000,0.400,0.000,0.000,0.000
97,2,1.000,0.991,0.0,0.800,0.000,0.400,0.000,0.000,0.000
98,2,1.000,0.986,0.0,0.800,0.000,0.600,0.000,0.000,0.000
99,2,1.000,0.989,0.0,0.600,0.000,0.600,0.000,0.000,0.000
100,2,1.000,0.986,0.0,0.714,0.000,0.429,0.000,0.000,0.000
