Sim_ID,Result,Total_Rounds,P_Alive_Count,E_Alive_Count,P_Remain_HP_Ratio,E_Remain_HP_Ratio,P_Corrosion_Deaths,E_Corrosion_Deaths,P_Tendency_Distribution,E_Tendency_Distribution,P_Dmg_Split,E_Dmg_Split,P_Heal_Done,E_Heal_Done,P_Status_Impact,E_Status_Impact,P_Skill_Counters,E_Skill_Counters
1,Draw/Timeout,100,1,1,8.3,41.8,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:390|Status:0,Direct:539|Status:0,53,0,None,None,Norm:75|Ult:1,Norm:59|Ult:2
2,Draw/Timeout,100,1,1,3.6,35.9,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:407|Status:0,Direct:475|Status:0,34,0,None,None,Norm:77|Ult:1,Norm:69|Ult:2
3,Draw/Timeout,100,1,1,10.6,34.0,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:413|Status:0,Direct:488|Status:0,38,0,None,None,Ult:1|Norm:79,Norm:74|Ult:2
4,Draw/Timeout,100,1,1,15.7,35.1,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:420|Status:0,Direct:523|Status:0,76,0,None,None,Norm:81|Ult:1,Norm:65|Ult:2
5,Draw/Timeout,100,1,1,11.7,33.8,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:424|Status:0,Direct:462|Status:0,44,0,None,None,Norm:80|Ult:1,Norm:78|Ult:2
6,Draw/Timeout,100,1,1,14.6,32.5,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:446|Status:0,Direct:480|Status:0,80,0,None,None,Norm:82|Ult:1,Norm:71|Ult:2
7,Draw/Timeout,100,1,1,4.3,32.0,0,0,Utility:10|BuffToAlly:1|Aggressive:13|DebuffToEnemy:5|Heal:1,Utility:7|DebuffToEnemy:7|Aggressive:14|BuffToAlly:2,Direct:424|Status:0,Direct:501|Status:0,67,0,None,None,Ult:1|Norm:84,Norm:77|Ult:2
